Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
25,tepung gaplek,1314,2.6,0.7,76.6,3.6,0.2,0.0,14.0,0.0,0.31,0.05,0.7,36,72.0,5,583,46,24.0,168,1.9,0.7
26,tepung tapioka,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
27,tepung terigu,1523,10.3,1.0,76.3,2.7,0.4,0.0,0.0,0.0,0.1,0.04,0.04,18,0.0,2,107,15,22.0,108,1.2,0.7
28,blendung/ brontol,2510,4.6,31.0,75.1,2.6,17.8,0.0,0.0,2.0,0.11,0.05,0.07,10,0.0,11,89,6,33.0,84,1.2,0.6
29,ubi jalar merah,431,1.7,0.1,24.3,3.0,0.0,0.0,1467.0,5.0,0.07,0.13,0.24,23,25.0,10,348,28,20.0,55,0.5,0.3
30,ubi jalar kuning,427,2.1,0.1,24.3,1.5,0.1,0.0,191.0,6.0,0.1,0.05,0.24,18,14.0,4,324,11,27.0,43,0.8,0.5
31,ubi jalar ungu,469,2.4,0.1,26.3,1.4,0.1,0.0,0.0,6.0,0.12,0.03,0.26,18,14.0,3,348,9,30.0,45,0.9,0.6
32,ubi jalar putih,469,2.4,0.1,26.3,1.4,0.1,0.0,0.0,6.0,0.12,0.03,0.26,18,14.0,3,348,9,30.0,45,0.9,0.6
33,uwi,406,2.1,0.1,22.9,1.2,0.1,0.0,0.0,5.0,0.1,0.03,0.23,16,12.0,3,303,8,26.0,39,0.8,0.5
34,bubur buatan pabrik,1556,15.6,6.0,64.8,10.2,2.4,0.0,12.0,0.0,0.66,0.12,0.12,24,0.0,6,336,48,144.0,456,4.2,3.0
35,campuran beras,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
36,cantel,1389,10.3,3.0,73.7,12.7,1.4,0.0,7.0,1.0,0.3,0.1,0.19,14,0.0,7,131,25,171.0,222,4.1,1.6
37,gadung mentah,406,2.1,0.1,22.9,1.2,0.1,0.0,0.0,5.0,0.1,0.03,0.23,16,12.0,3,303,8,26.0,39,0.8,0.5
38,ganyong mentah,343,1.8,0.1,19.5,1.0,0.1,0.0,0.0,4.0,0.09,0.03,0.2,14,10.0,3,258,7,22.0,33,0.7,0.4
39,gaplek,1314,2.6,0.7,76.6,3.6,0.2,0.0,14.0,0.0,0.31,0.05,0.7,36,72.0,5,583,46,24.0,168,1.9,0.7
40,garut / irut mentah,1054,5.5,0.3,59.5,3.1,0.3,0.0,0.0,13.0,0.26,0.08,0.6,42,31.0,8,788,21,68.0,101,2.1,1.3
41,gembili / mbolo,406,2.1,0.1,22.9,1.2,0.1,0.0,0.0,5.0,0.1,0.03,0.23,16,12.0,3,303,8,26.0,39,0.8,0.5
42,intip,707,3.1,0.3,37.2,0.4,0.1,0.0,0.0,0.0,0.03,0.03,0.07,3,0.0,0,38,4,17.0,48,0.3,0.5
43,jagung kuning pipil baru,452,3.3,1.3,25.1,2.8,0.6,0.0,13.0,0.0,0.22,0.07,0.06,46,6.0,17,249,2,32.0,103,0.6,0.5
44,jagung kuning pipil lama,1515,8.1,3.6,76.9,7.3,1.6,0.0,47.0,1.0,0.39,0.2,0.3,25,0.0,35,287,6,127.0,241,3.5,1.8
45,jagung kuning segar,452,3.3,1.3,25.1,2.8,0.6,0.0,13.0,0.0,0.22,0.07,0.06,46,6.0,17,249,2,32.0,103,0.6,0.5
46,jagung muda berjanggel,247,1.8,0.7,13.8,1.5,0.3,0.0,7.0,0.0,0.12,0.04,0.03,25,3.0,9,137,1,18.0,57,0.3,0.3
47,jagung putih pipil baru,452,3.3,1.3,25.1,2.8,0.6,0.0,0.0,0.0,0.22,0.07,0.06,46,6.0,17,249,2,32.0,103,0.6,0.5
48,jagung putih pipil lama,1515,8.1,3.6,76.9,7.3,1.6,0.0,0.0,1.0,0.39,0.2,0.3,25,0.0,35,287,6,127.0,241,3.5,1.8
49,jagung putih segar,452,3.3,1.3,25.1,2.8,0.6,0.0,0.0,0.0,0.22,0.07,0.06,46,6.0,17,249,2,32.0,103,0.6,0.5
50,kathul beras merah,904,15.6,4.3,64.5,42.8,2.2,0.0,0.0,1.0,0.42,0.52,1.17,55,0.0,2,1182,73,611.0,1013,10.6,7.3
51,katul beras,904,15.6,4.3,64.5,42.8,2.2,0.0,0.0,1.0,0.42,0.52,1.17,55,0.0,2,1182,73,611.0,1013,10.6,7.3
52,kentang,389,2.0,0.1,21.6,1.5,0.0,0.0,0.0,0.0,0.11,0.02,0.3,9,13.0,5,391,5,25.0,50,0.4,0.3
53,kentang hitam,389,2.0,0.1,21.6,1.5,0.0,0.0,0.0,0.0,0.11,0.02,0.3,9,13.0,5,391,5,25.0,50,0.4,0.3
54,kimpul mentah,469,2.4,0.1,26.3,1.4,0.1,0.0,0.0,6.0,0.12,0.03,0.26,18,14.0,3,348,9,30.0,45,0.9,0.6
55,krecek irut,1460,7.6,0.4,82.4,4.3,0.4,0.0,0.0,18.0,0.36,0.11,0.83,58,43.0,11,1091,29,94.0,140,2.9,1.8
56,makaroni,1477,12.0,1.8,70.8,4.3,0.8,0.0,0.0,0.0,0.05,0.05,0.1,18,0.0,3,78,18,45.0,135,1.3,1.3
57,martabak manis,929,2.5,17.1,15.2,0.0,9.0,85.0,38.0,1.0,0.01,0.11,0.02,9,0.0,25,26,10,2.0,35,0.3,0.2
58,mie + bakso (6) + kuah,619,11.7,2.0,19.8,1.2,0.3,28.0,4.0,0.0,0.04,0.07,0.14,8,0.0,21,135,7,20.0,105,0.9,1.7
59,mie + kuah,590,4.8,0.7,28.3,1.7,0.3,0.0,0.0,0.0,0.02,0.02,0.04,7,0.0,1,31,7,18.0,54,0.5,0.5
60,mie ayam,590,4.8,0.7,28.3,1.7,0.3,0.0,0.0,0.0,0.02,0.02,0.04,7,0.0,1,31,7,18.0,54,0.5,0.5
61,mie bakso,590,4.8,0.7,28.3,1.7,0.3,0.0,0.0,0.0,0.02,0.02,0.04,7,0.0,1,31,7,18.0,54,0.5,0.5
62,mie basah,590,4.8,0.7,28.3,1.7,0.3,0.0,0.0,0.0,0.02,0.02,0.04,7,0.0,1,31,7,18.0,54,0.5,0.5
63,mie kering,1360,9.6,6.4,56.6,3.4,0.7,0.0,0.0,0.0,0.04,0.04,0.08,14,0.0,2,62,14,36.0,108,1.0,1.0
64,mie kering,1180,9.6,1.4,56.6,3.4,0.6,0.0,0.0,0.0,0.04,0.04,0.08,14,0.0,2,62,14,36.0,108,1.0,1.0
65,mie soun,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
66,misoa,1297,10.6,1.5,62.3,3.7,0.7,0.0,0.0,0.0,0.04,0.04,0.09,15,0.0,2,68,15,40.0,119,1.1,1.1
67,nasi goreng,1046,3.5,17.2,20.1,0.2,8.9,26.0,10.0,1.0,0.02,0.05,0.06,4,0.0,9,43,5,11.0,44,0.3,0.5
68,nasi jagung,506,2.8,0.6,27.2,1.3,0.3,0.0,5.0,0.0,0.1,0.04,0.05,20,2.0,7,117,3,21.0,63,0.4,0.4
69,nasi liwet,544,2.4,0.2,28.6,0.3,0.1,0.0,0.0,0.0,0.02,0.02,0.05,2,0.0,0,29,3,13.0,37,0.2,0.4
70,nasi lunak and kangkung,423,2.4,0.2,22.0,0.7,0.1,0.0,76.0,1.0,0.03,0.03,0.07,20,6.0,4,72,21,14.0,38,0.4,0.4
71,nasi putih,544,2.4,0.2,28.6,0.3,0.1,0.0,0.0,0.0,0.02,0.02,0.05,2,0.0,0,29,3,13.0,37,0.2,0.4
72,nasi putih kukus,544,2.4,0.2,28.6,0.3,0.1,0.0,0.0,0.0,0.02,0.02,0.05,2,0.0,0,29,3,13.0,37,0.2,0.4
73,nasi soto,272,1.2,0.1,14.3,0.2,0.1,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,0,15,2,7.0,19,0.1,0.2
74,nasi tim,490,2.2,0.2,25.7,0.3,0.1,0.0,0.0,0.0,0.02,0.02,0.05,2,0.0,0,26,3,12.0,33,0.2,0.4
75,nasi tim ayam,586,5.8,3.0,21.5,0.2,0.7,12.0,6.0,0.0,0.03,0.05,0.08,2,0.0,11,49,4,13.0,55,0.4,0.6
76,nasi tim bayam,418,2.1,0.2,21.8,0.5,0.1,0.0,45.0,0.0,0.02,0.02,0.05,12,4.0,2,52,13,12.0,34,0.3,0.3
77,nasi tim daging,649,5.4,4.8,21.5,0.2,0.3,13.0,0.0,0.0,0.03,0.04,0.09,2,0.0,8,71,3,13.0,56,0.4,0.9
78,nasi tim wortel kentang,439,2.0,0.2,23.2,0.7,0.1,0.0,194.0,0.0,0.03,0.02,0.09,4,2.0,7,82,6,13.0,34,0.2,0.3
79,nasi uduk,494,2.1,1.5,23.5,0.6,0.1,0.0,0.0,0.0,0.02,0.02,0.04,3,0.0,1,37,3,12.0,34,0.3,0.4
80,nastar,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
81,pati ganyong,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
82,pati irut / kerut,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
83,roti bakar meises,1188,8.6,4.3,52.5,2.7,0.7,0.0,0.0,0.0,0.11,0.08,0.04,30,0.0,579,126,11,31.0,106,0.6,0.9
84,roti choklat,1188,8.6,4.3,52.5,2.7,0.7,0.0,0.0,0.0,0.11,0.08,0.04,30,0.0,579,126,11,31.0,106,0.6,0.9
85,roti daging,1192,10.3,5.8,46.7,2.5,0.8,9.0,0.0,0.0,0.11,0.09,0.07,29,0.0,553,135,9,27.0,113,0.6,1.2
86,roti goreng,1657,7.0,22.4,41.5,2.2,12.1,0.0,0.0,1.0,0.09,0.06,0.03,25,0.0,487,90,8,22.0,84,0.4,0.7
87,roti isi kac ijo,1079,8.7,2.8,48.8,3.2,0.7,0.0,0.0,0.0,0.12,0.08,0.05,49,0.0,549,130,11,30.0,110,0.7,0.9
88,roti isi nanas,1054,7.5,2.6,49.1,2.4,0.6,0.0,0.0,0.0,0.09,0.07,0.03,26,0.0,518,96,9,23.0,89,0.4,0.8
89,roti isi strawberry,1054,7.5,2.6,49.1,2.4,0.6,0.0,0.0,0.0,0.09,0.07,0.03,26,0.0,518,96,9,23.0,89,0.4,0.8
90,roti keju,1172,9.6,4.5,49.4,2.7,0.7,5.0,15.0,0.0,0.11,0.1,0.04,30,0.0,610,112,46,27.0,125,0.5,1.0
91,roti kukis,1188,8.6,4.3,52.5,2.7,0.7,0.0,0.0,0.0,0.11,0.08,0.04,30,0.0,579,126,11,31.0,106,0.6,0.9
92,roti manis,1192,7.9,2.7,56.7,2.5,0.6,0.0,0.0,0.0,0.1,0.07,0.04,28,0.0,548,102,9,24.0,95,0.5,0.8
93,roti mocca,1188,8.6,4.3,52.5,2.7,0.7,0.0,0.0,0.0,0.11,0.08,0.04,30,0.0,579,126,11,31.0,106,0.6,0.9
94,roti mukka special,1188,8.6,4.3,52.5,2.7,0.7,0.0,0.0,0.0,0.11,0.08,0.04,30,0.0,579,126,11,31.0,106,0.6,0.9
95,roti pawa rp.50,1146,8.8,3.0,51.9,2.8,0.7,0.0,0.0,0.0,0.11,0.08,0.04,31,0.0,609,113,10,27.0,105,0.5,0.9
96,roti pisang,615,3.3,1.3,32.0,2.5,0.3,0.0,6.0,0.0,0.07,0.09,0.42,23,6.0,183,311,7,28.0,46,0.4,0.4
97,roti selei nenas,1172,8.4,2.9,54.3,2.7,0.7,0.0,0.0,0.0,0.1,0.08,0.04,29,0.0,579,107,10,26.0,100,0.5,0.9
98,roti sisir,766,5.0,2.0,36.0,1.4,0.4,21.0,10.0,0.0,0.06,0.07,0.03,18,0.0,311,63,8,14.0,61,0.3,0.5
99,roti surabaya,766,5.0,2.0,36.0,1.4,0.4,21.0,10.0,0.0,0.06,0.07,0.03,18,0.0,311,63,8,14.0,61,0.3,0.5
100,roti susu,1280,10.8,6.2,51.0,2.5,0.7,13.0,50.0,0.0,0.14,0.23,0.09,33,1.0,598,228,113,34.0,177,0.5,1.2
101,roti tawar,1146,8.8,3.0,51.9,2.8,0.7,0.0,0.0,0.0,0.11,0.08,0.04,31,0.0,609,113,10,27.0,105,0.5,0.9
102,roti tawar manis,1192,7.9,2.7,56.7,2.5,0.6,0.0,0.0,0.0,0.1,0.07,0.04,28,0.0,548,102,9,24.0,95,0.5,0.8
103,sagu lempeng,845,2.5,0.3,46.2,0.9,0.1,0.0,0.0,0.0,0.02,0.01,0.01,4,0.0,3,27,4,6.0,29,0.4,0.2
104,sarimie,590,4.8,0.7,28.3,1.7,0.3,0.0,0.0,0.0,0.02,0.02,0.04,7,0.0,1,31,7,18.0,54,0.5,0.5
105,senthe,628,2.4,0.1,35.4,1.5,0.1,0.0,0.0,6.0,0.12,0.03,0.26,18,14.0,4,348,9,30.0,46,1.0,0.6
106,singkong kuning,527,1.1,0.3,30.8,1.6,0.1,0.0,103.0,0.0,0.12,0.02,0.29,15,29.0,5,242,20,11.0,69,0.8,0.3
107,singkong oyek,1427,1.1,0.3,82.1,1.8,0.1,0.0,5.0,0.0,0.1,0.02,0.23,12,24.0,8,196,16,10.0,64,0.9,0.3
108,singkong parut,548,1.1,0.3,31.9,1.5,0.1,0.0,6.0,0.0,0.13,0.02,0.29,15,30.0,2,243,19,10.0,70,0.8,0.3
109,singkong putih,548,1.1,0.3,31.9,1.5,0.1,0.0,6.0,0.0,0.13,0.02,0.29,15,30.0,2,243,19,10.0,70,0.8,0.3
110,supermie,590,4.8,0.7,28.3,1.7,0.3,0.0,0.0,0.0,0.02,0.02,0.04,7,0.0,1,31,7,18.0,54,0.5,0.5
111,suweg mentah,406,2.1,0.1,22.9,1.2,0.1,0.0,0.0,5.0,0.1,0.03,0.23,16,12.0,3,303,8,26.0,39,0.8,0.5
112,talas mentah,469,2.4,0.1,26.3,1.4,0.1,0.0,0.0,6.0,0.12,0.03,0.26,18,14.0,3,348,9,30.0,45,0.9,0.6
113,tempe gembus,833,19.0,7.7,17.0,1.4,4.3,0.0,1.0,1.0,0.13,0.11,0.3,52,0.0,6,367,93,70.0,206,2.3,1.8
114,tempe kedele busuk,833,19.0,7.7,17.0,1.4,4.3,0.0,1.0,1.0,0.13,0.11,0.3,52,0.0,6,367,93,70.0,206,2.3,1.8
115,tempe koro benguk,586,9.0,1.5,23.8,7.8,0.7,0.0,3.0,0.0,0.15,0.07,0.16,177,2.0,5,331,35,42.0,174,3.2,1.5
116,tempe koro pedang,531,8.7,0.5,22.8,6.4,0.3,0.0,0.0,0.0,0.16,0.06,0.12,130,1.0,2,403,28,45.0,142,2.9,1.1
117,tempe kedele murni,833,19.0,7.7,17.0,1.4,4.3,0.0,1.0,1.0,0.13,0.11,0.3,52,0.0,6,367,93,70.0,206,2.3,1.8
118,tempe lamtoro,552,9.1,0.5,23.6,6.5,0.2,0.0,2.0,0.0,0.12,0.11,0.08,125,0.0,6,322,43,52.0,150,1.8,1.2
119,tempeh goreng,1410,19.0,23.7,17.0,1.4,4.6,0.0,1.0,1.0,0.13,0.11,0.3,52,0.0,6,367,93,70.0,206,2.3,1.8
120,tepung hunkwee,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
121,toge kacang kedele mentah,510,13.1,6.7,9.6,0.8,3.8,0.0,1.0,0.0,0.34,0.12,0.18,172,15.0,14,484,67,72.0,164,2.1,1.2
122,toge kacang hijau mentah,255,6.6,3.4,4.8,0.4,1.9,0.0,1.0,0.0,0.17,0.06,0.09,86,8.0,7,242,34,36.0,82,1.1,0.6
123,toge kacang tolo mentah,255,6.6,3.4,4.8,0.4,1.9,0.0,1.0,0.0,0.17,0.06,0.09,86,8.0,7,242,34,36.0,82,1.1,0.6
124,wijen,2397,17.7,49.7,23.5,16.9,21.8,0.0,1.0,2.0,0.79,0.25,0.79,97,0.0,11,468,975,351.0,629,14.6,7.8
125,gucang,2222,20.6,39.4,32.9,6.8,12.5,0.0,0.0,7.0,0.2,0.09,0.21,101,0.0,15,564,74,134.0,301,3.7,2.6
126,gude,1335,22.0,1.2,57.1,15.7,0.6,0.0,6.0,0.0,0.29,0.26,0.2,302,0.0,15,777,104,125.0,363,4.4,2.9
127,jengkol,176,2.7,0.1,7.8,2.8,0.1,0.0,30.0,0.0,0.13,0.08,0.11,32,7.0,2,136,14,20.0,59,0.8,0.6
128,kacang hijau,485,7.7,0.5,20.8,6.5,0.2,0.0,2.0,0.0,0.2,0.06,0.1,208,0.0,4,278,24,53.0,156,2.5,1.3
129,kacang kapri mentah,351,5.4,0.2,15.6,5.5,0.1,0.0,60.0,0.0,0.26,0.15,0.22,63,14.0,3,271,27,39.0,117,1.5,1.2
130,kacang kapri muda mentah,351,5.4,0.2,15.6,5.5,0.1,0.0,60.0,0.0,0.26,0.15,0.22,63,14.0,3,271,27,39.0,117,1.5,1.2
131,kacang merah,1402,23.0,1.3,60.2,16.9,0.8,0.0,0.0,0.0,0.42,0.16,0.32,343,3.0,5,1064,74,119.0,375,7.7,2.9
132,kacang mete  kulit mentah,741,6.0,15.7,6.1,3.3,3.3,0.0,0.0,7.0,0.06,0.23,0.03,18,0.0,3,220,80,89.0,156,1.1,0.9
133,kacang mete kupas kulit,2464,20.0,52.2,20.4,10.9,11.0,0.0,0.0,24.0,0.21,0.78,0.11,59,1.0,11,732,266,296.0,520,3.7,2.9
134,kacang panjang biji,146,1.9,0.3,7.9,3.2,0.1,0.0,67.0,0.0,0.07,0.1,0.06,33,10.0,3,299,46,25.0,39,1.3,0.4
135,kacang panjang mentah,146,1.9,0.3,7.9,3.2,0.1,0.0,67.0,0.0,0.07,0.1,0.06,33,10.0,3,299,46,25.0,39,1.3,0.4
136,kacang tanah kulit,1732,18.8,35.9,11.8,6.2,11.4,0.0,0.0,7.0,0.18,0.08,0.19,92,0.0,13,515,67,123.0,274,3.4,2.4
137,kacang tanah muda kulit,1732,18.8,35.9,11.8,6.2,11.4,0.0,0.0,7.0,0.18,0.08,0.19,92,0.0,13,515,67,123.0,274,3.4,2.4
138,kacang tanah tanpa kulit,2372,25.8,49.2,16.1,8.5,15.6,0.0,0.0,9.0,0.25,0.11,0.26,126,0.0,18,705,92,168.0,376,4.6,3.3
139,kacang tolo (tonggak),485,7.7,0.5,20.8,6.5,0.2,0.0,2.0,0.0,0.2,0.06,0.1,208,0.0,4,278,24,53.0,156,2.5,1.3
140,kapri muda mentah,146,1.9,0.3,7.9,3.2,0.1,0.0,67.0,0.0,0.07,0.1,0.06,33,10.0,3,299,46,25.0,39,1.3,0.4
141,kecipir biji,1460,30.7,16.8,25.4,7.8,9.5,0.0,2.0,2.0,0.34,0.59,0.17,111,2.0,2,1510,233,235.0,592,13.2,4.2
142,kecipir muda mentah,146,1.9,0.3,7.9,3.2,0.1,0.0,67.0,0.0,0.07,0.1,0.06,33,10.0,3,299,46,25.0,39,1.3,0.4
143,kedele hitam,1736,36.5,20.0,30.3,9.3,11.3,0.0,3.0,3.0,0.4,0.7,0.2,133,3.0,3,1798,278,280.0,705,15.8,5.0
144,kedele kuning,1736,36.5,20.0,30.3,9.3,11.3,0.0,3.0,3.0,0.4,0.7,0.2,133,3.0,3,1798,278,280.0,705,15.8,5.0
145,kembang tahu mentah,1590,40.5,24.0,9.5,6.0,13.5,0.0,0.0,0.0,0.4,0.25,0.25,75,0.0,35,605,525,515.0,485,27.0,4.0
146,kemiri,2464,20.0,52.2,20.4,10.9,11.0,0.0,0.0,24.0,0.21,0.78,0.11,59,1.0,11,732,266,296.0,520,3.7,2.9
147,ketapang (buah),2464,20.0,52.2,20.4,10.9,11.0,0.0,0.0,24.0,0.21,0.78,0.11,59,1.0,11,732,266,296.0,520,3.7,2.9
148,kluwih biji mentah,640,2.9,0.8,33.6,8.6,0.2,0.0,12.0,1.0,0.1,0.11,0.26,43,22.0,2,306,12,58.0,66,1.0,0.6
149,koro benguk biji,1544,23.6,3.9,62.7,20.3,1.9,0.0,5.0,0.0,0.38,0.17,0.42,466,4.0,12,871,90,111.0,460,8.2,3.7
150,koro uceng,1544,23.6,3.9,62.7,20.3,1.9,0.0,5.0,0.0,0.38,0.17,0.42,466,4.0,12,871,90,111.0,460,8.2,3.7
151,koro wedus,1280,20.3,1.3,54.9,17.2,0.5,0.0,5.0,0.0,0.53,0.16,0.26,549,0.0,11,734,63,140.0,412,6.6,3.4
152,koro wedus buah muda,247,3.8,0.1,10.9,3.9,0.1,0.0,42.0,0.0,0.18,0.11,0.15,44,10.0,2,190,19,27.0,82,1.1,0.8
153,lamtoro biji muda,351,5.4,0.2,15.6,5.5,0.1,0.0,60.0,0.0,0.26,0.15,0.22,63,14.0,3,271,27,39.0,117,1.5,1.2
154,lamtoro biji tua,552,9.1,0.5,23.6,6.5,0.2,0.0,2.0,0.0,0.12,0.11,0.08,125,0.0,6,322,43,52.0,150,1.8,1.2
155,nangka biji,640,2.9,0.8,33.6,8.6,0.2,0.0,12.0,1.0,0.1,0.11,0.26,43,22.0,2,306,12,58.0,66,1.0,0.6
156,pepes tahu,318,8.1,4.8,1.9,1.2,2.7,0.0,0.0,0.0,0.08,0.05,0.05,15,0.0,7,121,105,103.0,97,5.4,0.8
157,petai segar,498,9.6,3.9,12.9,4.7,1.8,0.0,34.0,1.0,0.26,0.16,0.13,92,16.0,9,431,98,52.0,142,2.1,1.0
158,sayur tahu,753,5.7,13.4,11.3,0.8,7.7,0.0,0.0,1.0,0.06,0.04,0.04,11,0.0,5,85,74,72.0,68,3.8,0.6
159,sayur tempe,1109,15.9,17.0,16.7,2.5,9.7,0.0,232.0,2.0,0.12,0.14,0.35,47,11.0,7,401,82,64.0,180,2.3,1.6
160,semur tahu,573,13.7,4.5,10.6,0.4,0.9,28.0,0.0,0.0,0.06,0.08,0.16,7,0.0,26,190,34,41.0,117,2.4,2.1
161,tahu,318,8.1,4.8,1.9,1.2,2.7,0.0,0.0,0.0,0.08,0.05,0.05,15,0.0,7,121,105,103.0,97,5.4,0.8
162,tahu goreng,862,7.3,20.3,1.7,1.1,2.7,0.0,0.0,0.0,0.07,0.05,0.05,14,0.0,6,109,95,93.0,87,4.9,0.7
163,air kelapa tua,75,0.1,0.3,3.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,16,50,0.0,16,0.1,0.0
